nomor_sertifikat,jenis,nama_lengkap,tanggal_terbit,tanggal_kedaluwarsa
HXT-CERT-000010,rpc_certified,Dewi Anggraini,2026-09-01,2028-09-01
HXT-CERT-000011,rpc_certified,Bayu Saputra,2026-08-15,
HXT-CERT-000012,existing_manual,Rini Marlina,2026-07-10,2027-07-10
HXT-FT-000002,free_track,Rangga Pratama,2026-08-20,
HXT-FT-000003,free_track,Citra Lestari,2026-08-25,
HXT-CERT-000013,existing_manual,Fajar Nugroho,2026-06-05,2027-06-05
HXT-CERT-000014,rpc_certified,Putri Wulandari,2026-08-12,2028-08-12
HXT-CERT-000015,rpc_certified,,2026-08-18,2028-08-18
HXT-CERT-000016,existing_manual,Agus Setiawan,2026-13-32,2027-09-10
HXT-CERT-000001,rpc_certified,Hendra Gunawan,2026-08-22,2028-08-22
